8,0 20,0 5,0 146,615384615384 1314,0 415,0 27 24 26 25 28 0 0 0 0 0 0 0
7,1 18,0 5,0 90,0714285714285 1251,0 363,0 13 27 24 26 42 28 0 0 0 0 0 0
7,5 36,0 5,0 205,0 244,0 182,0 13 27 24 26 25 28 0 0 0 0 0 0
4,47 25,0 5,0 114,0 300,0 140,0 22 41 51 0 0 0 0 0 1 0 0 0
11,8 23,0 5,0 222,0 1455,0 508,0 42 41 73 22 74 0 0 0 0 0 0 0
8,0 3,0 5,0 260,153846153846 2680,0 741,0 24 42 41 73 22 23 0 0 0 0 0 0
8,3 21,0 5,0 231,0 346,0 223,0 27 24 28 0 0 0 0 0 0 0 0 0
6,7 21,0 5,0 235,1 1113,0 503,0 13 27 24 26 28 0 0 0 0 0 0 0
21,0 25,0 5,0 210,0 300,0 385,0 78 77 0 0 0 0 0 0 1 1 1 1
6,4 5,0 5,0 147,0 1375,0 537,0 13 42 41 22 23 0 0 0 0 0 0 0
7,8 16,0 5,0 51,4 255,0 159,0 13 24 29 26 28 0 0 0 0 0 0 0
6,7 26,0 5,0 220,2 1187,0 510,0 13 27 24 26 28 0 0 0 0 0 0 0
8,3 21,0 5,0 169,0 140,0 109,0 29 25 28 30 0 0 0 0 0 0 0 0
4,47 25,0 10,0 114,0 800,0 130,0 22 23 0 0 0 0 0 0 1 0 0 0
6,8 28,0 5,0 127,0 1914,0 624,0 13 24 26 42 28 0 0 0 0 0 0 0
8,55 11,0 20,0 235,0 1000,0 530,0 27 24 0 0 0 0 0 0 1 0 1 1
6,8 19,0 5,0 172,928571428571 1250,0 705,0 13 24 29 26 25 74 0 0 0 0 0 0
6,2 11,0 5,0 149,636363636363 1503,0 640,0 13 27 24 26 28 22 0 0 0 0 0 0
7,4 15,0 5,0 60,8799999999999 1707,0 699,0 26 42 41 22 23 0 0 0 0 0 0 0
7,8 16,0 5,0 214,0 540,0 263,0 27 24 26 28 22 0 0 0 0 0 0 0
8,4 35,0 5,0 215,0 300,0 325,0 28 24 0 0 0 0 0 0 1 1 1 1
4,0 24,0 5,0 90,0 400,0 237,0 22 5 0 0 0 0 0 0 1 0 0 0
8,3 22,0 5,0 231,0 1100,0 468,0 27 24 28 0 0 0 0 0 0 0 0 0
7,8 11,0 5,0 214,428571428571 1490,0 428,0 6 27 24 26 25 28 22 0 0 0 0 0
9,9 12,0 5,0 109,0 1373,0 492,0 72 42 41 73 22 40 0 0 0 0 0 0
6,4 23,0 5,0 178,0 2260,0 178,0 13 27 24 26 28 22 0 0 0 0 0 0
7,9 35,0 0,5 195,0 300,0 165,0 26 24 28 42 25 14 0 0 1 1 1 1
12,6 25,0 5,0 161,0 2034,0 715,0 24 73 22 23 74 0 0 0 0 0 0 0
9,9 14,0 5,0 137,0 1512,0 505,0 72 42 41 73 22 40 0 0 0 0 0 0
10,7 18,0 5,0 186,0 1525,0 504,0 42 41 73 23 0 0 0 0 0 0 0 0
16,6 10,0 30,0 186,0 850,0 200,0 73 0 0 0 0 0 0 0 1 1 0 0
11,1 23,0 5,0 105,5 1950,0 550,0 72 41 73 40 0 0 0 0 0 0 0 0
8,4 12,0 5,0 89,0 1000,0 351,0 72 41 22 40 0 0 0 0 0 0 0 0
8,9 19,0 5,0 204,714285714285 650,0 160,0 27 24 26 25 28 46 0 0 0 0 0 0
6,5 10,0 5,0 70,0 900,0 210,0 40 41 26 0 0 0 0 0 1 1 1 1
7,4 19,0 5,0 212,0 2475,0 600,0 24 26 28 22 0 0 0 0 0 0 0 0
7,6 20,0 5,0 202,571428571428 777,0 142,0 27 24 29 28 14 0 0 0 0 0 0 0
6,15 6,0 5,0 70,0 550,0 350,0 28 22 72 0 0 0 0 0 0 1 0 0
7,8 45,0 5,0 210,0 620,0 275,0 26 24 28 42 29 47 0 0 1 1 1 1
8,25 22,0 5,0 225,0 100,0 525,0 25 27 0 0 0 0 0 0 1 0 0 0
6,5 17,0 5,0 100,0 1160,0 338,0 72 22 23 40 0 0 0 0 0 0 0 0
7,3 19,0 5,0 208,0 2381,0 710,0 24 26 28 22 0 0 0 0 0 0 0 0
7,1 4,0 5,0 161,0 1250,0 460,0 13 42 41 22 23 0 0 0 0 0 0 0
8,3 23,0 5,0 171,666666666666 630,0 318,0 29 25 28 50 0 0 0 0 0 0 0 0
6,8 20,0 5,0 183,8 1170,0 375,0 13 24 26 25 28 0 0 0 0 0 0 0
7,2 62,0 5,0 217,0 833,0 405,0 13 27 24 26 25 28 0 0 0 0 0 0
8,0 21,0 5,0 220,0 210,0 130,0 27 24 26 25 28 0 0 0 0 0 0 0
6,6 14,0 5,0 127,0 2162,0 712,0 13 24 26 42 28 22 0 0 0 0 0 0
6,9 20,0 5,0 178,2 1130,0 361,0 13 24 26 25 28 0 0 0 0 0 0 0
6,5 10,0 5,0 127,0 2229,0 752,0 13 24 26 42 28 22 0 0 0 0 0 0
8,2 17,0 5,0 103,0 903,0 301,0 72 41 73 22 40 0 0 0 0 0 0 0
7,3 18,0 5,0 127,0 2012,0 515,0 13 27 24 26 28 22 0 0 0 0 0 0
6,4 8,0 5,0 105,0 918,0 304,0 41 22 23 40 0 0 0 0 0 0 0 0
4,3 25,0 11,0 104,0 650,0 130,0 22 13 0 0 0 0 0 0 1 0 1 1
7,1 18,0 5,0 110,785714285714 1129,0 305,0 13 27 24 26 28 0 0 0 0 0 0 0
8,1 22,0 5,0 160,6 970,0 271,0 24 29 26 25 28 0 0 0 0 0 0 0
