1,78 11,0 0,0 45,0 17,0 60,0 12 30 38 0 0 0 0 0 1 1 1 1
1,79 13,0 0,0 46,0 18,0 55,0 12 20 38 0 0 0 0 0 1 1 1 1
2,77 8,0 0,0 70,0 27,0 115,0 13 29 0 0 0 0 0 0 1 1 1 1
2,8 17,0 0,0 69,0 26,0 120,0 13 12 14 40 0 0 0 0 1 1 1 1
6,6 0,1 0,0 47,0 18,0 70,0 30 47 0 0 0 0 0 0 1 1 1 1
6,8 0,1 0,0 62,0 23,0 95,0 30 29 0 0 0 0 0 0 1 1 1 1
6,98 0,1 0,0 75,0 25,0 110,0 30 29 22 0 0 0 0 0 1 1 1 1
8,67 1,0 0,0 197,0 77,0 475,0 28 13 24 0 0 0 0 0 1 1 1 1
7,9 0,0 0,0 192,0 158,0 138,0 13 27 26 28 0 0 0 0 0 0 0 0
7,4 0,0 0,0 182,0 346,0 212,0 13 27 26 28 0 0 0 0 0 0 0 0
7,0 0,0 0,0 172,0 794,0 385,0 13 27 26 28 0 0 0 0 0 0 0 0
6,6 0,0 0,0 162,0 964,0 456,0 13 27 26 28 0 0 0 0 0 0 0 0
8,5 0,0 0,0 207,0 204,0 125,0 27 26 28 0 0 0 0 0 0 0 0 0
8,5 0,0 0,0 207,0 209,0 125,0 27 26 28 0 0 0 0 0 0 0 0 0
7,7 0,0 0,0 186,0 196,0 149,0 27 26 28 14 0 0 0 0 0 0 0 0
7,1 0,0 0,0 185,0 476,0 287,0 27 26 28 14 0 0 0 0 0 0 0 0
6,6 0,0 0,0 184,0 1301,0 570,0 27 26 28 14 0 0 0 0 0 0 0 0
6,8 0,0 0,0 183,0 2033,0 624,0 13 27 24 26 28 0 0 0 0 0 0 0
6,8 17,0 0,0 182,0 1641,0 569,0 13 27 24 26 41 28 0 0 0 0 0 0
6,8 11,0 0,0 182,666666666666 1959,0 668,0 13 27 24 26 41 28 0 0 0 0 0 0
7,0 4,0 0,0 183,333333333333 2473,0 747,0 13 27 24 26 41 28 0 0 0 0 0 0
6,7 25,0 0,0 184,0 1373,0 520,0 13 27 24 26 28 0 0 0 0 0 0 0
6,4 23,0 0,0 178,0 2260,0 178,0 13 27 24 26 28 22 0 0 0 0 0 0
7,7 29,5 0,0 212,0 220,0 171,0 13 27 24 26 25 28 0 0 0 0 0 0
7,5 36,0 0,0 205,0 244,0 182,0 13 27 24 26 25 28 0 0 0 0 0 0
7,4 42,5 0,0 208,0 285,0 183,0 13 27 24 26 25 28 0 0 0 0 0 0
7,4 49,0 0,0 211,0 331,0 220,0 13 27 24 26 25 28 0 0 0 0 0 0
